name,actor,information,date,star,evaluate,introduction
小森林 冬春篇,桥本爱AiHashimoto/三浦贵大Takahir..., 日本   剧情,2015 ,9.0,383035人评价,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
驯龙高手,..., 美国   动画奇幻冒险,2010 ,8.8,764008人评价,和谐的生活离不开摸头与被摸头。
哈利·波特与火焰杯,丹尼尔·雷德克里夫DanielRadclif..., 英国美国   悬疑奇幻冒险,2005 ,8.8,672336人评价,无介绍
一个叫欧维的男人决定去死,罗夫·拉斯加德RolfLassgård..., 瑞典   剧情,2015 ,8.9,490566人评价,惠及一生的美丽。
教父3,阿尔·帕西诺A..., 美国   剧情犯罪,1990 ,9.0,379476人评价,任何信念的力量，都无法改变命运。
怪兽电力公司,约..., 美国   儿童喜剧动画奇幻冒险,2001 ,8.8,681451人评价,不要给它起名字，起了名字就有感情了。
萤火之森,佐仓绫音AyaneSakura/内山昂辉K..., 日本   剧情爱情动画奇幻,2011 ,8.9,546303人评价,触不到的恋人。
傲慢与偏见,凯拉·奈特莉KeiraKnightley/马修·..., 法国英国美国   剧情爱情,2005 ,8.7,811278人评价,爱是摈弃傲慢与偏见之后的曙光。
玩具总动员3,汤姆·汉克斯TomHanks/蒂姆·艾..., 美国   喜剧动画奇幻冒险,2010 ,8.9,524605人评价,跨度十五年的欢乐与泪水。
新世界,李政宰Jung-JaeLee/崔岷植Min-sik..., 韩国   剧情犯罪,2013 ,8.9,443712人评价,要做就做得狠一点，这样才能活下去。
釜山行,孔侑YooGong/郑有美Yu-miJung/马..., 韩国   动作惊悚灾难,2016 ,8.6,1212722人评价,揭露人性的丧尸题材力作。
被解救的姜戈,杰米·福克斯JamieFoxx/..., 美国   剧情动作西部冒险,2012 ,8.8,616130人评价,热血沸腾，那个低俗、性感的无耻混蛋又来了。
神偷奶爸,..., 美国法国   喜剧动画冒险,2010 ,8.7,957003人评价,Mr. I Don't Care其实也有Care的时候。
玛丽和马克思,托妮·科莱特ToniCollette/菲利..., 澳大利亚美国   剧情喜剧动画,2009 ,9.0,424562人评价,你是我最好的朋友，你是我唯一的朋友 。
告白,松隆子TakakoMatsu/冈田将生..., 日本   剧情悬疑,2010 ,8.8,677532人评价,没有一人完全善，也没有一人完全恶。
茶馆,于是之ShizhiYu/郑榕RongZhen/蓝天野T..., 中国大陆   剧情历史,1982(中国大陆) ,9.6,151331人评价,无介绍
哪吒闹海,梁正晖Zhenghui..., 中国大陆   冒险动画奇幻,1979 ,9.2,263297人评价,想你时你在闹海。
大鱼,伊万·麦克格雷格EwanMcGregor/阿..., 美国   剧情家庭奇幻冒险,2003 ,8.8,573562人评价,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
九品芝麻官,周星驰StephenChow/吴孟达ManTatNg/..., 中国香港中国大陆   剧情喜剧古装,1994 ,8.7,690317人评价,无介绍
喜宴,赵文瑄WinstonChao/归亚蕾Ya-leiKuei/郎..., 中国台湾美国   剧情喜剧爱情同性家庭,1993 ,9.0,368384人评价,中国家庭的喜怒哀乐忍。
色，戒,梁朝伟TonyLeungChiuWai/汤唯WeiTang/..., 中国台湾中国大陆美国中国香港   剧情爱情情色,2007 ,8.7,821814人评价,假戏真情，爱欲深海
模仿游戏,本尼迪克特·康伯巴奇BenedictC..., 英国美国   剧情传记战争同性,2014 ,8.8,654833人评价,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
头号玩家,泰伊·谢里丹TyeSheri..., 美国   动作科幻冒险,2018 ,8.7,1382159人评价,写给影迷，动漫迷和游戏迷的一封情书。
射雕英雄传之东成西就,梁朝伟TonyLeungChiuWai/林青霞Bri..., 中国香港   喜剧奇幻武侠古装,1993 ,8.7,644491人评价,百看不厌。 
花样年华,梁朝伟TonyLeungChiuWai/张曼玉Ma..., 中国香港   剧情爱情,2000 ,8.7,616435人评价,偷情本没有这样美。
我是山姆,SeanPenn/DakotaFanning/Mi..., 美国   剧情家庭,2001 ,9.0,341674人评价,爱并不需要智商 。
阳光姐妹淘,沈恩京Eun-kyungShim/闵孝琳Hy..., 韩国   剧情喜剧,2011 ,8.8,594476人评价,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
头脑特工队,无信息, 美国   喜剧动画冒险,2015 ,8.8,623349人评价,愿我们都不用长大，每一座城堡都能永远存在。
血战钢锯岭,安德鲁·加菲尔德AndrewGarfield/..., 澳大利亚美国   剧情传记历史战争,2016 ,8.7,789939人评价,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
七武士,三船敏郎ToshirôMifune/志村乔..., 日本   动作冒险剧情,1954 ,9.3,200901人评价,时代悲歌。
恐怖直播,河正宇Jung-wooHa/李璟荣Kyeong-y..., 韩国   剧情犯罪悬疑,2013 ,8.7,658904人评价,恐怖分子的“秋菊打官司”。
惊魂记,安东尼·博金斯Antho..., 美国   悬疑惊悚恐怖,1960 ,9.0,300223人评价,故事的反转与反转，分裂电影的始祖。
黑客帝国3：矩阵革命,无信息, 美国   动作科幻,2003 ,8.8,451606人评价,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
你的名字。,神木隆之介RyûnosukeKamiki/上..., 日本   剧情爱情动画,2016 ,8.5,1423890人评价,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
电锯惊魂,雷·沃纳尔LeighWhannell/加利·艾..., 美国   悬疑惊悚恐怖,2004 ,8.8,540026人评价,真相就在眼前。
三块广告牌,弗兰西斯·麦克多蒙德France..., 英国美国   剧情犯罪,2017 ,8.7,828326人评价,怼天怼地，你走后，她与世界为敌。
达拉斯买家俱乐部,马修·麦康纳MatthewMcCon..., 美国   剧情传记同性,2013 ,8.8,457194人评价,Jared Leto的腿比女人还美！
疯狂原始人,无信息, 美国   喜剧动画冒险,2013 ,8.7,847029人评价,老少皆宜，这就是好莱坞动画的魅力。
